refugees_tot,asylum_ctry_code,region_origin,old_ctry_origin,region_asylum,origin_ctry_code,sub_region_asylum, new_id,total_refugees_refugee_like_assisted_unhcr,origin_ctry,refugees_assisted_unhcr,year,sub_region_origin,old_ctry_asylum,total_refugees_refugee_like_situations,asylum_ctry
,ROU,NULL,Stateless,Europe,NULL,Central Europe,24771,3,Stateless,3,2004,NULL,Romania,,Romania
,ROU,NULL,Stateless,Europe,NULL,Central Europe,28641,1,Stateless,1,2003,NULL,Romania,,Romania
,GRC,NULL,Various,Europe,NULL,Northern Western and Southern Europe,34746,2429,Various,2429,2001,NULL,Greece,,Greece
,ISR,NULL,Various,Middle East and North Africa,NULL,Middle East,34994,170,Various,170,2001,NULL,Israel,,Israel
,ROU,NULL,Stateless,Europe,NULL,Central Europe,35854,1,Stateless,1,2001,NULL,Romania,,Romania
,ROU,NULL,Stateless,Europe,NULL,Central Europe,39018,1,Stateless,1,2000,NULL,Romania,,Romania
,BLR,Asia and the Pacific,Turkmenistan,Europe,TKM,Eastern Europe,9643,1,Turkmenistan,1,2007,Central Asia,Belarus,,Belarus
,GRC,Middle East and North Africa,Libyan Arab Jamahiriya,Europe,LBY,Northern Western and Southern Europe,23464,1,Libyan Arab Jamahiriya,1,2004,North Africa,Greece,,Greece
,MEX,Africa,Somalia,The Americas,SOM,Latin America,24109,11,Somalia,11,2004,East and Horn of Africa,Mexico,,Mexico
,NIC,Europe,Russian Federation,The Americas,RUS,Latin America,24397,1,Russian Federation,1,2004,Eastern Europe,Nicaragua,,Nicaragua
,ROU,The Americas,Cuba,Europe,CUB,Central Europe,24739,1,Cuba,1,2004,Latin America,Romania,,Romania
,KGZ,Asia and the Pacific,Sri Lanka,Asia and the Pacific,LKA,Central Asia,27845,1,Sri Lanka,1,2003,South Asia,Kyrgyzstan,,Kyrgyzstan
,ROU,Africa,Rwanda,Europe,RWA,Central Europe,28636,2,Rwanda,2,2003,Central Africa and the Great Lakes,Romania,,Romania
,COL,The Americas,Chile,The Americas,CHL,Latin America,30498,4,Chile,4,2002,Latin America,Colombia,,Colombia
,MYS,Asia and the Pacific,Sri Lanka,Asia and the Pacific,LKA,South-East Asia,31755,2,Sri Lanka,2,2002,South Asia,Malaysia,,Malaysia
,PAN,Africa,Sierra Leone,The Americas,SLE,Latin America,32249,1,Sierra Leone,1,2002,West Africa,Panama,,Panama
,ROU,Middle East and North Africa,Jordan,Europe,JOR,Central Europe,35840,1,Jordan,1,2001,Middle East,Romania,,Romania
,ROU,Middle East and North Africa,Mauritania,Europe,MRT,Central Europe,35844,1,Mauritania,1,2001,North Africa,Romania,,Romania
,ZAF,Africa,Zimbabwe,Africa,ZWE,Southern Africa,36000,5,Zimbabwe,5,2001,Southern Africa,South Africa,,South Africa
,DZA,Europe,Bosnia and Herzegovina,Middle East and North Africa,BIH,North Africa,36710,1,Bosnia and Herzegovina,1,2000,South-Eastern Europe,Algeria,,Algeria
,ROU,Middle East and North Africa,Jordan,Europe,JOR,Central Europe,39004,1,Jordan,1,2000,Middle East,Romania,,Romania
,ROU,Middle East and North Africa,Mauritania,Europe,MRT,Central Europe,39008,1,Mauritania,1,2000,North Africa,Romania,,Romania
,MEX,Middle East and North Africa,Occupied Palestinian Territory,The Americas,PSE,Latin America,28025,3,Gaza strip,3,2003,Middle East,Mexico,,Mexico
,GEO,Asia and the Pacific,Islamic Rep. of Iran,Europe,IRN,Eastern Europe,19251,6,Islamic Republic of Iran,6,2005,South-West Asia,Georgia,,Georgia
,ARE,Asia and the Pacific,Islamic Rep. of Iran,Middle East and North Africa,IRN,Middle East,29317,1,Islamic Republic of Iran,1,2003,South-West Asia,United Arab Emirates,,United Arab Emirates
,ROU,Africa,Guinea,Europe,GIN,Central Europe,24746,3,Guinea,3,2004,West Africa,Romania,,Romania
,ROU,Africa,Guinea-Bissau,Europe,GNB,Central Europe,24747,1,Guinea-Bissau,1,2004,West Africa,Romania,,Romania
,ROU,Asia and the Pacific,India,Europe,IND,Central Europe,24748,2,India,2,2004,South Asia,Romania,,Romania
,ROU,Africa,Kenya,Europe,KEN,Central Europe,24753,1,Kenya,1,2004,East and Horn of Africa,Romania,,Romania
,ROU,Middle East and North Africa,Kuwait,Europe,KWT,Central Europe,24754,1,Kuwait,1,2004,Middle East,Romania,,Romania
,ARE,Asia and the Pacific,Myanmar,Middle East and North Africa,MMR,Middle East,25450,1,Myanmar,1,2004,South-East Asia,United Arab Emirates,,United Arab Emirates
,BLR,Africa,Cameroon,Europe,CMR,Eastern Europe,26150,1,Cameroon,1,2003,Central Africa and the Great Lakes,Belarus,,Belarus
,ROU,Middle East and North Africa,Mauritania,Europe,MRT,Central Europe,28630,1,Mauritania,1,2003,North Africa,Romania,,Romania
,ZAF,Africa,Eritrea,Africa,ERI,Southern Africa,28773,2,Eritrea,2,2003,East and Horn of Africa,South Africa,,South Africa
,ARE,Asia and the Pacific,Uzbekistan,Middle East and North Africa,UZB,Middle East,29325,4,Uzbekistan,4,2003,Central Asia,United Arab Emirates,,United Arab Emirates
,COL,The Americas,Chile,The Americas,CHL,Latin America,34145,4,Chile,4,2001,Latin America,Colombia,,Colombia
,ROU,Africa,Angola,Europe,AGO,Central Europe,38990,4,Angola,4,2000,Southern Africa,Romania,,Romania
,ROU,Africa,Cameroon,Europe,CMR,Central Europe,38995,11,Cameroon,11,2000,Central Africa and the Great Lakes,Romania,,Romania
,UKR,Middle East and North Africa,Jordan,Europe,JOR,Eastern Europe,39587,1,Jordan,1,2000,Middle East,Ukraine,,Ukraine
